System,teff,teffuerr,tefflerr,Pflag,lambdadeg,lambdadeguerr,lambdadeglerr,psi,psiuerr,psilerr,Author_string,Ephemeris_Url,normalized_lambdadeg,normalized_lambdauerr,normalized_lambdalerr,Albrecht2022_Excluded_Flag,BinaryMultiStarFlag,TIC,SOCatflag,Method,pl_orbper,pl_orbperuerr,pl_orbperlerr,pl_orbeccen,pl_orbeccenuerr,pl_orbeccenlerr,pl_orbsmax,pl_orbsmaxuerr,pl_orbsmaxlerr,pl_orbincl,pl_orbincluerr,pl_orbincllerr,pl_bmassj,pl_bmassjuerr,pl_bmassjlerr,pl_radj,pl_radjuerr,pl_radjlerr,pl_ratror,pl_ratroruerr,pl_ratrorlerr,pl_ratdor,pl_ratdoruerr,pl_ratdorlerr,pl_imppar,pl_impparuerr,pl_impparlerr,pl_trandur,pl_tranduruerr,pl_trandurlerr,st_mass,st_massuerr,st_masslerr,st_vsin,st_vsinuerr,st_vsinlerr,st_rad,st_raduerr,st_radlerr,st_met,st_metuerr,st_metlerr,st_logg,st_logguerr,st_logglerr,st_age,st_ageuerr,st_agelerr
CoRoT-02,5598,50,50,n,4.7,12.3,12.3,-999.0,-999.0,-999.0,Nutzmann_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011ApJ...740L..10N,4.7,12.3,12.3,0,NG,TIC 391958006,n,SC,1.7429935,1e-06,1e-06,0.0143,0.0077,0.0076,0.02798,0.00076,0.0008,88.08,0.18,0.16,3.47,0.22,0.22,1.466,0.042,0.044,0.1667,0.0006,0.0006,6.7,0.03,0.03,0.221,0.017,0.019,2.26704,0.00264,0.0024,0.96,0.08,0.08,10.87,0.32,0.32,0.906,0.026,0.027,0.04,0.05,0.05,4.53,0.016,0.016,2.7,3.2,2.7
CoRoT-02,5598,50,50,n,4.0,5.9,6.1,-999.0,-999.0,-999.0,Gillon_et_al._(2010),https://ui.adsabs.harvard.edu/abs/2010A%26A...511A...3G,4.0,5.9,6.1,0,NG,TIC 391958006,n,RM,1.7429935,1e-06,1e-06,0.0143,0.0077,0.0076,0.02798,0.00076,0.0008,88.08,0.18,0.16,3.47,0.22,0.22,1.466,0.042,0.044,0.1667,0.0006,0.0006,6.7,0.03,0.03,0.221,0.017,0.019,2.26704,0.00264,0.0024,0.96,0.08,0.08,10.87,0.32,0.32,0.906,0.026,0.027,0.04,0.05,0.05,4.53,0.016,0.016,2.7,3.2,2.7
CoRoT-03,6558,44,44,y,-37.6,22.3,10.0,-999.0,-999.0,-999.0,Triaud_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009A%26A...506..377T,37.6,10.0,22.3,0,,TIC 392353449,y,RM,4.2568,5e-06,5e-06,0.0,,,0.05783,0.00085,0.00085,85.9,0.8,0.8,21.66,1.0,1.0,1.01,0.07,0.07,0.0663,0.0009,0.0009,7.8,0.4,0.4,0.55,0.08,0.08,3.384,0.024,0.0192,1.37,0.09,0.09,17.0,1.0,1.0,1.56,0.09,0.09,0.14,0.04,0.04,4.22,0.07,0.07,2.2,0.6,0.6
CoRoT-11,6343,72,72,y,0.1,2.6,2.6,-999.0,-999.0,-999.0,Gandolfi_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A%26A...543L...5G,0.1,2.6,2.6,0,G,TIC 110178537,y,DT,2.99433,1.1e-05,1.1e-05,0.0,,,0.0436,0.005,0.005,83.17,0.15,0.15,2.33,0.34,0.34,1.43,0.03,0.03,0.107,0.0005,0.0005,6.89,0.08,0.08,0.818,0.008,0.008,2.5009,0.0144,0.0144,1.27,0.05,0.05,40.0,5.0,5.0,1.37,0.03,0.03,-0.03,0.08,0.08,4.22,0.23,0.23,2.0,1.0,1.0
CoRoT-18,5440,100,100,y,-10.0,20.0,20.0,20.0,20.0,20.0,H&eacute;brard_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H,10.0,20.0,20.0,0,,TIC 37168957,y,RM,1.9000693,2.8e-06,2.8e-06,0.08,,,0.0295,0.0016,0.0016,86.5,1.4,0.9,3.47,0.38,0.38,1.31,0.18,0.18,0.1341,0.0019,0.0019,6.35,0.4,0.4,0.4,0.08,0.14,2.387,0.038,0.038,0.95,0.15,0.15,8.0,1.0,1.0,1.0,0.13,0.13,-0.1,0.1,0.1,4.4,0.1,0.1,0.6,0.0,0.6
CoRoT-19,6090,70,70,y,-52.0,27.0,22.0,-999.0,-999.0,-999.0,Guenther_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012A%26A...537A.136G,52.0,22.0,27.0,1,,TIC 42821097,y,RM,3.89713,2e-05,2e-05,0.047,0.045,0.045,0.0518,0.0008,0.0008,88.0,0.7,0.7,1.11,0.06,0.06,1.29,0.03,0.03,0.0786,0.0004,0.0004,6.7,0.1,0.1,0.24,0.08,0.08,4.7,0.1,0.1,1.21,0.05,0.05,6.0,1.0,1.0,1.65,0.04,0.04,-0.02,0.1,0.1,4.07,0.03,0.03,5.0,1.0,1.0
CoRoT-36,6730,140,140,y,275.8,11.3,11.3,-999.0,-999.0,-999.0,Sebastian_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022MNRAS.516..636S,84.2,11.3,11.3,0,,TIC 405004589,y,RM,5.616531,2.3e-05,2.3e-05,0.0,,,0.066,0.007,0.007,85.83,0.26,0.26,0.68,0.47,0.43,1.41,0.14,0.14,,,,,,,0.573,0.023,0.025,4.98,0.07,0.07,1.32,0.09,0.09,25.6,0.3,0.3,1.52,0.2,0.1,-0.1,0.1,0.1,4.16,0.06,0.06,2.1,0.6,0.5
DS_Tuc,5598,28,59,y,2.93,0.88,0.87,-999.0,-999.0,-999.0,Zhou_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020ApJ...892L..21Z,2.93,0.88,0.87,0,SFNG,TIC 410214986,y,RM,8.138268,1.1e-05,1.1e-05,0.0,,,,,,89.5,0.34,0.41,1.3,,,0.50851994,0.01516638,0.01516638,0.05419,0.00024,0.00024,20.35,0.29,0.69,0.18,0.13,0.12,3.1764,0.01176,0.00936,1.01,0.06,0.06,17.8,0.2,0.2,0.964,0.029,0.029,0.0,,,4.6,0.15,0.15,0.045,0.004,0.004
DS_Tuc,5598,28,59,n,12.1,2.6,2.1,-999.0,-999.0,-999.0,Benatti_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021A%26A...650A..66B,12.1,2.6,2.1,0,SFNG,TIC 410214986,n,RM,8.138268,1.1e-05,1.1e-05,0.0,,,,,,89.5,0.34,0.41,1.3,,,0.50851994,0.01516638,0.01516638,0.05419,0.00024,0.00024,20.35,0.29,0.69,0.18,0.13,0.12,3.1764,0.01176,0.00936,1.01,0.06,0.06,17.8,0.2,0.2,0.964,0.029,0.029,0.0,,,4.6,0.15,0.15,0.045,0.004,0.004
EPIC_219388192,5553,82,86,n,16.0,16.0,15.0,25.0,11.0,14.0,Zak_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2505.20516,16.0,16.0,15.0,0,,TIC 130633912,n,RM,5.292569,2.6e-05,2.6e-05,0.1893,,,0.0593,,,89.63,,,36.0,1.6,1.6,0.846,0.021,0.021,,,,,,,,,,,,,0.99,,,,,,1.01,,,0.03,,,,,,,,
EPIC_219388192,5553,82,86,y,1.4,2.1,2.5,15.0,15.0,11.0,Carmichael_et_al._(2025),https://ui.adsabs.harvard.edu/abs/arXiv:2506.18971,1.4,2.1,2.5,0,,TIC 130633912,y,RM,5.292569,2.6e-05,2.6e-05,0.1893,,,0.0593,,,89.63,,,36.0,1.6,1.6,0.846,0.021,0.021,,,,,,,,,,,,,0.99,,,,,,1.01,,,0.03,,,,,,,,
GJ_0436,3416,54,54,n,72.0,33.0,24.0,80.0,21.0,18.0,Bourrier_et_al._(2018),https://ui.adsabs.harvard.edu/abs/2018Natur.553..477B,72.0,33.0,24.0,0,,TIC 138819293,n,RRM,2.64388312,5.7e-07,5.7e-07,0.13827,0.00018,0.00018,0.0291,0.0015,0.0015,86.44,0.17,0.16,0.07,0.007,0.007,0.372,0.015,0.015,0.0822,0.001,0.0011,13.73,0.46,0.43,0.736,0.042,0.041,1.00536,0.00336,0.00336,0.47,0.07,0.07,0.33,0.091,0.066,0.455,0.018,0.018,0.0991,0.0785,0.0785,4.792,0.047,0.044,6.0,4.0,5.0
GJ_0436,3416,54,54,y,114.0,23.0,17.0,103.0,13.0,12.0,Bourrier_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022A%26A...663A.160B,114.0,23.0,17.0,0,,TIC 138819293,y,RM,2.64388312,5.7e-07,5.7e-07,0.13827,0.00018,0.00018,0.0291,0.0015,0.0015,86.44,0.17,0.16,0.07,0.007,0.007,0.372,0.015,0.015,0.0822,0.001,0.0011,13.73,0.46,0.43,0.736,0.042,0.041,1.00536,0.00336,0.00336,0.47,0.07,0.07,0.33,0.091,0.066,0.455,0.018,0.018,0.0991,0.0785,0.0785,4.792,0.047,0.044,6.0,4.0,5.0
GJ_0523,4660,50,50,y,-999.0,-999.0,-999.0,90.0,28.6,0.0,Kroft_et_al._(2026),https://ui.adsabs.harvard.edu/abs/arXiv:2603.24682,999.0,-999.0,-999.0,0,,TIC 22903436,y,vsini+Rotation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ_3470,3577,19,51,y,101.0,29.0,14.0,97.0,16.0,11.0,Stef&aacute;nsson_et_al._(2022),https://ui.adsabs.harvard.edu/abs/2022ApJ...931L..15S,101.0,29.0,14.0,0,,TIC 19028197,y,RM,3.3366496,3.9e-06,3.3e-06,0.017,0.016,0.012,0.0355,0.0019,0.0019,89.13,0.26,0.34,0.04373407,0.0047195,0.0047195,0.40770809,0.01605852,0.01605852,0.07642,0.00037,0.00037,13.98,0.2,0.28,0.4,0.06,0.08,1.8984,0.012,0.012,0.539,0.047,0.043,,,,0.547,0.018,0.018,0.2,0.1,0.1,4.695,0.046,0.046,1.65,1.35,1.35
GPX-1,7000,200,200,y,6.9,10.0,10.0,-999.0,-999.0,-999.0,Giacalone_et_al._(2024),https://ui.adsabs.harvard.edu/abs/2024AJ....168..189G,6.9,10.0,10.0,0,,TIC 245392284,y,DT,1.744579,8e-06,8e-06,0.0,,,0.0338,0.0003,0.0003,79.9,0.7,0.6,19.7,1.6,1.6,1.47,0.1,0.1,0.095,0.002,0.002,4.67,0.55,0.32,0.82,0.02,0.03,2.09,0.05,0.05,1.68,0.1,0.1,40.0,10.0,10.0,1.56,0.1,0.1,0.35,0.1,0.1,4.27,0.05,0.05,0.27,0.09,0.15
HAT-P-01,5975,50,50,y,3.7,2.1,2.1,-999.0,-999.0,-999.0,Johnson_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008ApJ...686..649J,3.7,2.1,2.1,0,SFNG,TIC 346338552,y,RM,4.46529976,5.5e-07,5.5e-07,0.0,,,0.05561,0.00082,0.00083,85.634,0.056,0.056,0.525,0.019,0.019,1.319,0.019,0.019,0.11802,0.00018,0.00018,9.853,0.071,0.071,0.7501,0.0064,0.0069,2.85,0.01176,0.01272,1.151,0.052,0.051,2.2,0.2,0.2,1.174,0.026,0.027,0.13,0.008,0.008,4.359,0.014,0.014,3.6,0.0,0.0
HAT-P-02,6290,60,60,n,9.0,10.0,10.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,9.0,10.0,10.0,0,,TIC 39903405,y,RM,5.6335158,3.6e-06,3.6e-06,0.5172,0.0019,0.0019,0.06814,0.00051,0.00051,86.16,0.26,0.26,9.02,0.1,0.1,0.951,0.039,0.053,0.0678,0.0002,0.0002,10.28,0.12,0.19,0.457,0.035,0.04,4.2888,0.0312,0.0312,1.33,0.03,0.03,20.8,0.3,0.3,1.39,0.09,0.09,0.18,,,4.16,0.02,0.02,1.44,0.47,0.47
HAT-P-02,6290,60,60,y,0.2,12.2,12.5,-999.0,-999.0,-999.0,Loeillet_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008A%26A...481..529L,0.2,12.2,12.5,0,,TIC 39903405,n,RM,5.6335158,3.6e-06,3.6e-06,0.5172,0.0019,0.0019,0.06814,0.00051,0.00051,86.16,0.26,0.26,9.02,0.1,0.1,0.951,0.039,0.053,0.0678,0.0002,0.0002,10.28,0.12,0.19,0.457,0.035,0.04,4.2888,0.0312,0.0312,1.33,0.03,0.03,20.8,0.3,0.3,1.39,0.09,0.09,0.18,,,4.16,0.02,0.02,1.44,0.47,0.47
HAT-P-02,6290,60,60,n,1.2,13.4,13.4,-999.0,-999.0,-999.0,Winn_et_al._(2007),https://ui.adsabs.harvard.edu/abs/2007ApJ...665L.167W,1.2,13.4,13.4,0,,TIC 39903405,n,RM,5.6335158,3.6e-06,3.6e-06,0.5172,0.0019,0.0019,0.06814,0.00051,0.00051,86.16,0.26,0.26,9.02,0.1,0.1,0.951,0.039,0.053,0.0678,0.0002,0.0002,10.28,0.12,0.19,0.457,0.035,0.04,4.2888,0.0312,0.0312,1.33,0.03,0.03,20.8,0.3,0.3,1.39,0.09,0.09,0.18,,,4.16,0.02,0.02,1.44,0.47,0.47
HAT-P-03,5190,80,80,y,21.2,8.7,8.7,-999.0,-999.0,-999.0,Mancini_et_al._(2018),https://ui.adsabs.harvard.edu/abs/2018A%26A...613A..41M,21.2,8.7,8.7,0,FNG,TIC 311035838,y,RM,2.8997,5.4e-05,5.4e-05,0.0,,,0.03866,0.00041,0.00041,87.24,0.69,0.69,0.65,0.11,0.11,0.94,0.07,0.07,0.11091,0.00048,0.00048,10.05,0.5,0.5,0.615,0.012,0.012,2.0808,0.0082,0.0082,1.06,0.28,0.28,0.46,0.22,0.25,0.87,0.06,0.06,0.27,,,4.56,0.03,0.03,1.6,2.1,2.1
HAT-P-03,5190,80,80,n,-25.3,29.4,22.8,75.7,8.5,7.9,Bourrier_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023A%26A...669A..63B,25.3,22.8,29.4,0,FNG,TIC 311035838,n,RMR,2.8997,5.4e-05,5.4e-05,0.0,,,0.03866,0.00041,0.00041,87.24,0.69,0.69,0.65,0.11,0.11,0.94,0.07,0.07,0.11091,0.00048,0.00048,10.05,0.5,0.5,0.615,0.012,0.012,2.0808,0.0082,0.0082,1.06,0.28,0.28,0.46,0.22,0.25,0.87,0.06,0.06,0.27,,,4.56,0.03,0.03,1.6,2.1,2.1
HAT-P-04,6036,46,46,y,-4.9,11.9,11.9,-999.0,-999.0,-999.0,Winn_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011AJ....141...63W,4.9,11.9,11.9,0,SNG,TIC 138294130,y,RM,3.056536,,,0.0,,,0.04438,0.00081,0.0015,89.91,0.09,2.2,0.671,0.033,0.044,1.274,0.049,0.06,0.082,0.00044,0.00044,6.04,0.03,0.18,0.01,0.23,0.01,4.224,0.0072,0.0072,1.248,0.07,0.12,5.83,0.35,0.35,1.596,0.06,0.075,0.24,0.08,0.08,4.127,0.019,0.027,3.9,0.8,1.4
HAT-P-06,6570,80,80,n,166.0,10.0,10.0,-999.0,-999.0,-999.0,H&eacute;brard_et_al._(2011),https://ui.adsabs.harvard.edu/abs/2011A%26A...527L..11H,166.0,10.0,10.0,0,,TIC 176899385,n,RM,3.85298,5e-06,5e-06,0.0,,,0.05239,0.0008,0.00082,85.51,0.35,0.35,1.32,0.3,0.3,1.48,0.15,0.15,0.0934,0.0005,0.0005,7.73,0.34,0.34,0.602,0.03,0.03,3.5064,0.0408,0.0408,1.79,0.6,0.6,7.8,0.6,0.6,1.62,0.17,0.17,-0.13,,,4.22,0.03,0.03,2.3,0.5,0.7
HAT-P-06,6570,80,80,y,165.0,6.0,6.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,165.0,6.0,6.0,0,,TIC 176899385,y,RM,3.85298,5e-06,5e-06,0.0,,,0.05239,0.0008,0.00082,85.51,0.35,0.35,1.32,0.3,0.3,1.48,0.15,0.15,0.0934,0.0005,0.0005,7.73,0.34,0.34,0.602,0.03,0.03,3.5064,0.0408,0.0408,1.79,0.6,0.6,7.8,0.6,0.6,1.62,0.17,0.17,-0.13,,,4.22,0.03,0.03,2.3,0.5,0.7
HAT-P-07,6310,15,15,n,182.5,9.4,9.4,94.6,5.5,3.0,Winn_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009ApJ...703L..99W,177.5,9.4,9.4,0,NG,TIC 424865156,n,RM,2.20474,1.7e-05,1.7e-05,0.0,,,0.03809,0.00019,0.00019,83.11,0.03,0.03,1.84,0.53,0.53,1.51,0.21,0.21,0.075408,8e-06,7e-06,4.13,0.15,0.15,0.496,0.0011,0.0013,3.88216,0.00044,0.00044,1.56,0.68,0.68,3.8,0.5,0.5,2.0,0.28,0.28,0.26,,,4.07,0.06,0.06,1.78,0.17,0.19
HAT-P-07,6310,15,15,n,-132.6,10.5,16.3,-999.0,-999.0,-999.0,Narita_et_al._(2009),https://ui.adsabs.harvard.edu/abs/2009PASJ...61L..35N,132.6,16.3,10.5,0,NG,TIC 424865156,n,RM,2.20474,1.7e-05,1.7e-05,0.0,,,0.03809,0.00019,0.00019,83.11,0.03,0.03,1.84,0.53,0.53,1.51,0.21,0.21,0.075408,8e-06,7e-06,4.13,0.15,0.15,0.496,0.0011,0.0013,3.88216,0.00044,0.00044,1.56,0.68,0.68,3.8,0.5,0.5,2.0,0.28,0.28,0.26,,,4.07,0.06,0.06,1.78,0.17,0.19
HAT-P-07,6310,15,15,n,155.0,37.0,37.0,-999.0,-999.0,-999.0,Albrecht_et_al._(2012),https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,155.0,37.0,37.0,0,NG,TIC 424865156,y,RM,2.20474,1.7e-05,1.7e-05,0.0,,,0.03809,0.00019,0.00019,83.11,0.03,0.03,1.84,0.53,0.53,1.51,0.21,0.21,0.075408,8e-06,7e-06,4.13,0.15,0.15,0.496,0.0011,0.0013,3.88216,0.00044,0.00044,1.56,0.68,0.68,3.8,0.5,0.5,2.0,0.28,0.28,0.26,,,4.07,0.06,0.06,1.78,0.17,0.19
HAT-P-07,6310,15,15,n,136.0,16.0,22.0,87.0,2.0,2.0,Masuda_(2015)_solution_2,https://ui.adsabs.harvard.edu/abs/2015ApJ...805...28M,136.0,16.0,22.0,0,NG,TIC 424865156,n,RM,2.20474,1.7e-05,1.7e-05,0.0,,,0.03809,0.00019,0.00019,83.11,0.03,0.03,1.84,0.53,0.53,1.51,0.21,0.21,0.075408,8e-06,7e-06,4.13,0.15,0.15,0.496,0.0011,0.0013,3.88216,0.00044,0.00044,1.56,0.68,0.68,3.8,0.5,0.5,2.0,0.28,0.28,0.26,,,4.07,0.06,0.06,1.78,0.17,0.19
HAT-P-07,6310,15,15,y,220.3,8.2,9.3,115.0,19.0,16.0,Benomar_et_al._(2014),https://ui.adsabs.harvard.edu/abs/2014PASJ...66...94B,139.7,9.3,8.2,0,NG,TIC 424865156,n,AS,2.20474,1.7e-05,1.7e-05,0.0,,,0.03809,0.00019,0.00019,83.11,0.03,0.03,1.84,0.53,0.53,1.51,0.21,0.21,0.075408,8e-06,7e-06,4.13,0.15,0.15,0.496,0.0011,0.0013,3.88216,0.00044,0.00044,1.56,0.68,0.68,3.8,0.5,0.5,2.0,0.28,0.28,0.26,,,4.07,0.06,0.06,1.78,0.17,0.19
HAT-P-07,6310,15,15,n,-999.0,-999.0,-999.0,97.0,14.0,14.0,Lund_et_al._(2014),https://ui.adsabs.harvard.edu/abs/2014A%26A...570A..54L,999.0,-999.0,-999.0,0,NG,TIC 424865156,n,AS,2.20474,1.7e-05,1.7e-05,0.0,,,0.03809,0.00019,0.00019,83.11,0.03,0.03,1.84,0.53,0.53,1.51,0.21,0.21,0.075408,8e-06,7e-06,4.13,0.15,0.15,0.496,0.0011,0.0013,3.88216,0.00044,0.00044,1.56,0.68,0.68,3.8,0.5,0.5,2.0,0.28,0.28,0.26,,,4.07,0.06,0.06,1.78,0.17,0.19
